key,value
daily_data:c6e958c8-c1a5-441c-a435-68a31083acc8:2025-11-27,"{""date"":""2025-11-27"",""mood"":""grumpy"",""userId"":""c6e958c8-c1a5-441c-a435-68a31083acc8"",""updatedAt"":""2025-11-27T06:06:26.575Z"",""napMinutes"":30}"
daily_data:c9b30028-b670-4334-b516-5de92f7df637:2025-11-27,"{""date"":""2025-11-27"",""userId"":""c9b30028-b670-4334-b516-5de92f7df637"",""updatedAt"":""2025-11-27T20:40:50.901Z""}"
user_profile:20c3fa8c-152f-409f-a825-e057b49a18b6,"{""role"":""Mom"",""userId"":""20c3fa8c-152f-409f-a825-e057b49a18b6"",""zipcode"":""91009"",""careType"":""daycare"",""childSex"":""Female"",""concerns"":[""Nap transitions & bedtime"",""Mealtime power struggles"",""Potty training & daycare accidents""],""childName"":""Ann"",""updatedAt"":""2025-11-29T20:42:21.971Z"",""hasDaycare"":true,""parentName"":""Ting"",""childGender"":""girl"",""daycareName"":""KinderCare"",""updateMethod"":""Daycare app only"",""childBirthday"":""2023-11-01"",""onboardingCompleted"":true}"
user_profile:217267f5-4758-43a4-9b40-a9a899118f77,"{""role"":""Other caregiver"",""userId"":""217267f5-4758-43a4-9b40-a9a899118f77"",""zipcode"":""91107"",""childSex"":""Male"",""concerns"":[""Feeding & milk intake"",""Crying & soothing"",""Diaper & bowel movements""],""childName"":""Aa"",""updatedAt"":""2025-11-27T09:54:13.810Z"",""hasDaycare"":false,""childGender"":"""",""daycareName"":"""",""updateMethod"":"""",""childBirthday"":""2025-10-01"",""onboardingCompleted"":true}"
user_profile:24062ff5-4c27-4c18-8c10-b52baf0c366d,"{""role"":""Grandmother"",""userId"":""24062ff5-4c27-4c18-8c10-b52baf0c366d"",""zipcode"":""91107"",""childSex"":""Male"",""concerns"":[""All good, honestly""],""childName"":""Cc"",""updatedAt"":""2025-11-27T10:21:45.823Z"",""hasDaycare"":true,""parentName"":""Aa"",""childGender"":"""",""daycareName"":""Prefer not to say"",""updateMethod"":""Daily emails with a report"",""childBirthday"":""2025-09-01"",""onboardingCompleted"":true}"
user_profile:34930299-df92-4ea0-af68-0b5da622e476,"{""role"":""Dad"",""userId"":""34930299-df92-4ea0-af68-0b5da622e476"",""zipcode"":""91107"",""childSex"":""Male"",""concerns"":[""All good, honestly""],""childName"":""Kim"",""updatedAt"":""2025-11-28T02:22:30.453Z"",""hasDaycare"":true,""parentName"":""Robert"",""childGender"":"""",""daycareName"":""La Petite Academy"",""updateMethod"":""Daily emails with a report"",""childBirthday"":""2022-01-01"",""onboardingCompleted"":true}"
user_profile:5975e934-c213-42d8-bbde-bb079e405f1e,"{""role"":""Dad"",""userId"":""5975e934-c213-42d8-bbde-bb079e405f1e"",""zipcode"":""91107"",""childSex"":""Female"",""concerns"":[""Big feelings after school"",""Picky eating at school lunch"",""Dropping naps at school""],""childName"":""Betty"",""updatedAt"":""2025-11-27T09:28:19.145Z"",""hasDaycare"":true,""childGender"":"""",""daycareName"":""Bright Horizons"",""updateMethod"":""Daily emails with a report"",""childBirthday"":""2022-01-01"",""onboardingCompleted"":true}"
user_profile:75b06d49-336b-418d-bd36-fc38876088cb,"{""role"":""Mom"",""userId"":""75b06d49-336b-418d-bd36-fc38876088cb"",""zipcode"":""91107"",""childSex"":""Female"",""concerns"":[""Just… everything""],""childName"":""Evelyn"",""updatedAt"":""2025-11-28T11:19:19.970Z"",""hasDaycare"":true,""parentName"":""Carina"",""childGender"":""girl"",""daycareName"":""Prefer not to say"",""updateMethod"":""Daily emails with a report"",""childBirthday"":""2024-04-07"",""onboardingCompleted"":true}"
user_profile:89ed9e4b-4150-4122-af65-7d725069c75a,"{""role"":""Mom"",""userId"":""89ed9e4b-4150-4122-af65-7d725069c75a"",""zipcode"":""10027"",""childSex"":""Male"",""concerns"":[""Nap transitions & bedtime"",""Just… everything""],""childName"":""Atlas"",""updatedAt"":""2025-11-27T20:33:20.504Z"",""hasDaycare"":true,""parentName"":""Chloe"",""childGender"":"""",""daycareName"":""Prefer not to say"",""updateMethod"":""Daycare app only"",""childBirthday"":""2023-12-01"",""onboardingCompleted"":true}"
user_profile:8fa3780e-1c7b-4560-a73d-79bc536dc4c4,"{""role"":""Other caregiver"",""userId"":""8fa3780e-1c7b-4560-a73d-79bc536dc4c4"",""zipcode"":""91107"",""childSex"":""Male"",""concerns"":[""Just… everything""],""childName"":""Aa"",""updatedAt"":""2025-11-27T10:09:26.938Z"",""hasDaycare"":false,""parentName"":""Amy"",""childGender"":"""",""daycareName"":"""",""updateMethod"":"""",""childBirthday"":""2000-01-01"",""onboardingCompleted"":true}"
user_profile:ab8ac820-35a8-443b-9bfe-b096335c1e5c,"{""role"":""Mom"",""userId"":""ab8ac820-35a8-443b-9bfe-b096335c1e5c"",""zipcode"":""91107"",""childSex"":""Female"",""concerns"":[""Sleep & bedtime battles"",""Just… everything""],""childName"":""Aria"",""updatedAt"":""2025-11-28T09:54:51.877Z"",""hasDaycare"":true,""parentName"":""Carina"",""childGender"":"""",""daycareName"":""Prefer not to say"",""updateMethod"":""Daily emails with a report"",""childBirthday"":""2024-05-08"",""onboardingCompleted"":true}"
user_profile:c6e958c8-c1a5-441c-a435-68a31083acc8,"{""role"":""Mom"",""userId"":""c6e958c8-c1a5-441c-a435-68a31083acc8"",""concerns"":[""Sleep & bedtime battles"",""Daycare sickness cycle""],""childName"":""Aria"",""updatedAt"":""2025-11-27T00:20:26.001Z"",""hasDaycare"":true,""childGender"":"""",""daycareName"":""Prefer not to say"",""updateMethod"":""Daily emails with a report"",""childBirthday"":""2024-05-08"",""onboardingCompleted"":true}"
user_profile:c9b30028-b670-4334-b516-5de92f7df637,"{""role"":""Mom"",""userId"":""c9b30028-b670-4334-b516-5de92f7df637"",""zipcode"":""91107"",""childSex"":""Female"",""concerns"":[""All good, honestly""],""childName"":""Aria"",""updatedAt"":""2025-11-27T11:07:59.331Z"",""hasDaycare"":true,""parentName"":""Carina"",""childGender"":"""",""daycareName"":""Prefer not to say"",""updateMethod"":""Daily emails with a report"",""childBirthday"":""2022-01-01"",""onboardingCompleted"":true}"
user_profile:cd8518d5-9804-4826-bb2c-3ca0d3174392,"{""role"":""Dad"",""userId"":""cd8518d5-9804-4826-bb2c-3ca0d3174392"",""zipcode"":""91107"",""childSex"":""Male"",""concerns"":[""Dropping naps at school"",""Picky eating at school lunch"",""Just… everything""],""childName"":""Kim"",""updatedAt"":""2025-11-28T01:17:56.732Z"",""hasDaycare"":true,""parentName"":""Robert"",""childGender"":"""",""daycareName"":""KinderCare"",""updateMethod"":""Daily emails with a report"",""childBirthday"":""2022-01-01"",""onboardingCompleted"":true}"
user_profile:e7ba75bd-f46a-42da-a4ec-bb31439fd316,"{""role"":""Mom"",""userId"":""e7ba75bd-f46a-42da-a4ec-bb31439fd316"",""zipcode"":""91107"",""childSex"":""Female"",""concerns"":[""Big feelings after school"",""Social & friendships in class""],""childName"":""Cc"",""updatedAt"":""2025-11-27T09:16:13.499Z"",""hasDaycare"":true,""childGender"":"""",""daycareName"":""Bright Horizons"",""updateMethod"":""Daily emails with a report"",""childBirthday"":""2022-01-01"",""onboardingCompleted"":true}"
user_profile:f5ec5426-176a-472c-9267-8dfa6cc8274f,"{""role"":""Mom"",""userId"":""f5ec5426-176a-472c-9267-8dfa6cc8274f"",""zipcode"":""91107"",""childSex"":""Male"",""concerns"":[""All good, honestly""],""childName"":""Aaa"",""updatedAt"":""2025-11-28T01:19:20.340Z"",""hasDaycare"":false,""parentName"":""Cc"",""childGender"":"""",""daycareName"":"""",""updateMethod"":"""",""childBirthday"":""2022-01-01"",""onboardingCompleted"":true}"
